authors,title,language_code
Stephenie Meyer,"The Host (The Host, #1)",en-US
John Green,Looking for Alaska,eng
Helen Fielding,"Bridget Jones's Diary (Bridget Jones, #1)",eng
"Jane Austen, Tony Tanner, Ros Ballaster",Sense and Sensibility,eng
"Louis Sachar, Louis Sachar","Holes (Holes, #1)",eng
Lauren Weisberger,"The Devil Wears Prada (The Devil Wears Prada, #1)",eng
"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",The Odyssey,eng
"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",The Little Prince,eng
Jeannette Walls,The Glass Castle,eng
Jon Krakauer,Into the Wild,eng
"Charles Dickens, Richard Maxwell, Hablot Knight Browne",A Tale of Two Cities,eng
Michael Crichton,"Jurassic Park (Jurassic Park, #1)",spa
Shel Silverstein,The Giving Tree,eng
John Grisham,A Time to Kill,eng
"Elie Wiesel, Marion Wiesel",Night (The Night Trilogy #1),eng
John Green,Paper Towns,en-US
William Goldman,The Princess Bride ,en-US
S.E. Hinton,The Outsiders,en-US
James Dashner,"The Maze Runner (Maze Runner, #1)",eng
"Steven D. Levitt, Stephen J. Dubner","Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",en-US
Frances Hodgson Burnett,The Secret Garden,eng
"Gabriel García Márquez, Gregory Rabassa",One Hundred Years of Solitude,eng
"Oscar Wilde, Jeffrey Eugenides",The Picture of Dorian Gray,eng
E.L. James,"Fifty Shades Freed (Fifty Shades, #3)",eng
"Bram Stoker, Nina Auerbach, David J. Skal",Dracula,eng
"Stieg Larsson, Reg Keeland","The Girl Who Played with Fire (Millennium, #2)",eng
E.L. James,"Fifty Shades Darker (Fifty Shades, #2)",eng
Barbara Kingsolver,The Poisonwood Bible,eng
David Sedaris,Me Talk Pretty One Day,eng
Maurice Sendak,Where the Wild Things Are,eng
"Alexandre Dumas, Robin Buss",The Count of Monte Cristo,eng
Cormac McCarthy,The Road,eng
Veronica Roth,"Allegiant (Divergent, #3)",eng
Tina Fey,Bossypants,eng
Nicholas Sparks,A Walk to Remember,en-US
Sophie Kinsella,"Confessions of a Shopaholic (Shopaholic, #1)",eng
"Victor Hugo, Lee Fahnestock, Norman MacAfee",Les Misérables,eng
George R.R. Martin,"A Clash of Kings  (A Song of Ice and Fire, #2)",eng
Kim Edwards,The Memory Keeper's Daughter,eng
Jojo Moyes,"Me Before You (Me Before You, #1)",eng
Joseph Heller,Catch-22,en-US
"Mitch Albom, Saulius Dagys",Tuesdays with Morrie,eng
Jeffrey Eugenides,Middlesex,en-US
"Mark Twain, Guy Cardwell, John Seelye",The Adventures of Tom Sawyer,eng
Madeleine L'Engle,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",en-US
Amy Tan,The Joy Luck Club,eng
Margaret Atwood,The Handmaid's Tale,eng
Ann Brashares,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",eng
"Vladimir Nabokov, Craig Raine",Lolita,eng
"Gregory Maguire, Douglas Smith","Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",eng
John Grisham,"The Firm (Penguin Readers, Level 5)",eng
Emma Donoghue,Room,eng
"William Shakespeare, Richard Andrews, Rex Gibson",Hamlet,eng
Frank Herbert,Dune (Dune Chronicles #1),eng
Malcolm Gladwell,The Tipping Point: How Little Things Can Make a Big Difference,eng
Walter Isaacson,Steve Jobs,eng
Ken Kesey,One Flew Over the Cuckoo's Nest,eng
Ernest Hemingway,The Old Man and the Sea,eng
John Steinbeck,The Grapes of Wrath,eng
Mitch Albom,The Five People You Meet in Heaven,
L.M. Montgomery,"Anne of Green Gables (Anne of Green Gables, #1)",eng
Cassandra Clare,"City of Glass (The Mortal Instruments, #3)",en-US
George R.R. Martin,"A Storm of Swords (A Song of Ice and Fire, #3)",eng
Rebecca Wells,Divine Secrets of the Ya-Ya Sisterhood,en-US
Diana Gabaldon,"Outlander (Outlander, #1)",eng
"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",The Scarlet Letter,eng
Ransom Riggs,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",en-US
"Stieg Larsson, Reg Keeland","The Girl Who Kicked the Hornet's Nest (Millennium, #3)",en-US
Andy Weir,The Martian,eng
Ken Follett,"The Pillars of the Earth (The Kingsbridge Series, #1)",eng
Anthony Doerr,All the Light We Cannot See,eng
Laura Hillenbrand,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",eng
Dan Brown,Deception Point,eng
Donna Tartt,The Goldfinch,eng
Jay Asher,Thirteen Reasons Why,eng
Tracy Chevalier,Girl with a Pearl Earring,eng
Gayle Forman,"If I Stay (If I Stay, #1)",en-US
Anita Diamant,The Red Tent,en-US
Rick Riordan,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",eng
Nicholas Sparks,Dear John,en-US
Cassandra Clare,"City of Ashes (The Mortal Instruments, #2)",eng
William Shakespeare,Macbeth,eng
J.R.R. Tolkien,"The Two Towers (The Lord of the Rings, #2)",en-US
Emily Giffin,"Something Borrowed (Darcy & Rachel, #1)",eng
"Dr. Seuss, לאה נאור",Green Eggs and Ham,en-US
"Roald Dahl, Quentin Blake","Charlie and the Chocolate Factory (Charlie Bucket, #1)",eng
Rick Riordan,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",eng
Charles Dickens,Great Expectations,eng
J.R.R. Tolkien,"The Return of the King (The Lord of the Rings, #3)",en-US
"Albert Camus, Matthew    Ward",The Stranger,eng
Rick Riordan,"The Lost Hero (The Heroes of Olympus, #1)",eng
Rainbow Rowell,Eleanor & Park,eng
George R.R. Martin,"A Feast for Crows (A Song of Ice and Fire, #4)",en-US
Ally Condie,"Matched (Matched, #1)",eng
Neil Gaiman,"American Gods (American Gods, #1)",eng
"Stephen King, Bernie Wrightson",The Stand,en-US
Nicholas Sparks,The Last Song,en-GB
Dan Brown,Digital Fortress,en-GB
"Jane Austen, Fiona Stafford",Emma,eng
"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",Anna Karenina,eng
Anthony Burgess,A Clockwork Orange,eng
William Paul Young,The Shack,eng
Rick Riordan,"The Last Olympian (Percy Jackson and the Olympians, #5)",eng
Stephen King,It,en-US
"Fyodor Dostoyevsky, David McDuff",Crime and Punishment,eng
Sylvia Plath,The Bell Jar,en-US
Frank McCourt,"Angela's Ashes (Frank McCourt, #1)",eng
"Hermann Hesse, Hilda Rosner",Siddhartha,eng
Truman Capote,In Cold Blood,eng
"Kami Garcia, Margaret Stohl","Beautiful Creatures (Caster Chronicles, #1)",eng
Cassandra Clare,"Clockwork Angel (The Infernal Devices, #1)",eng
"Roald Dahl, Quentin Blake",Matilda,eng
Erin Morgenstern,The Night Circus,eng
Philippa Gregory,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",eng
Scott Westerfeld,"Uglies (Uglies, #1)",eng
George R.R. Martin,"A Dance with Dragons (A Song of Ice and Fire, #5)",eng
J.R.R. Tolkien,"The Lord of the Rings (The Lord of the Rings, #1-3)",eng
Cheryl Strayed,Wild: From Lost to Found on the Pacific Crest Trail,eng
"Alan Moore, Dave Gibbons, John Higgins",Watchmen,en-US
Patrick Rothfuss,"The Name of the Wind (The Kingkiller Chronicle, #1)",eng
Malcolm Gladwell,Outliers: The Story of Success,en-US
"Herman Melville, Andrew Delbanco, Tom Quirk","Moby-Dick or, The Whale",eng
"Mary Ann Shaffer, Annie Barrows",The Guernsey Literary and Potato Peel Pie Society,eng
Chuck Palahniuk,Fight Club,eng
Charlaine Harris,"Dead Until Dark (Sookie Stackhouse, #1)",en-US
Alice Walker,The Color Purple,eng
John Grogan,Marley and Me: Life and Love With the World's Worst Dog,eng
Agatha Christie,And Then There Were None,eng
Dan Brown,"The Lost Symbol (Robert Langdon, #3)",eng
Becca Fitzpatrick,"Hush, Hush (Hush, Hush, #1)",en-US
Jamie McGuire,"Beautiful Disaster (Beautiful, #1)",eng
Charles Dickens,A Christmas Carol,
Anne Rice,"Interview with the Vampire (The Vampire Chronicles, #1)",eng
Kiera Cass,"The Selection (The Selection, #1)",en-US
Janet Evanovich,"One for the Money (Stephanie Plum, #1)",en-US
Rebecca Skloot,The Immortal Life of Henrietta Lacks,eng
Thomas Harris,"The Silence of the Lambs  (Hannibal Lecter, #2)",eng
Richelle Mead,"Vampire Academy (Vampire Academy, #1)",en-US
Malcolm Gladwell,Blink: The Power of Thinking Without Thinking,en-US
Ian McEwan,Atonement,eng
"Franz Kafka, Stanley Corngold",The Metamorphosis,eng
Rick Riordan,"The Titan's Curse (Percy Jackson and the Olympians, #3)",eng
Ernest Cline,Ready Player One,eng
Garth Stein,The Art of Racing in the Rain,eng
"Erik Larson, Tony Goldwyn","The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",eng
Sylvia Day,"Bared to You (Crossfire, #1)",eng
"C.S. Lewis, Pauline Baynes","The Chronicles of Narnia (Chronicles of Narnia, #1-7)",eng
Mark Cotta Vaz,Twilight: The Complete Illustrated Movie Companion,en-US
Dave Pelzer,"A Child Called ""It"" (Dave Pelzer #1)",eng
Robert Ludlum,"The Bourne Identity (Jason Bourne, #1)",eng
Eoin Colfer,"Artemis Fowl (Artemis Fowl, #1)",eng
Lauren Kate,"Fallen (Fallen, #1)",en-US
John Steinbeck,East of Eden,eng
Gillian Flynn,Dark Places,eng
John Grisham,The Client,eng
"Emma McLaughlin, Nicola Kraus","The Nanny Diaries (Nanny, #1)",eng
"Lewis Carroll, John Tenniel, Martin Gardner",Alice's Adventures in Wonderland & Through the Looking-Glass,eng
"Jane Austen, James Kinsley, Deidre Shauna Lynch",Persuasion,eng
Tatiana de Rosnay,Sarah's Key,eng
Stephen King,"The Gunslinger (The Dark Tower, #1)",en-US
"Gabriel García Márquez, Edith Grossman",Love in the Time of Cholera,eng
Laurie Halse Anderson,Speak,eng
Liane Moriarty,The Husband's Secret,eng
Jon Krakauer,Into Thin Air: A Personal Account of the Mount Everest Disaster,en-US
Stephen King,Carrie,
Augusten Burroughs,Running with Scissors,en-US
Max Brooks,World War Z: An Oral History of the Zombie War,en-US
Dan Brown,"Inferno (Robert Langdon, #4)",eng
Lois Lowry,Number the Stars,eng
James Patterson,"Along Came a Spider (Alex Cross, #1)",eng
Stephen King,Misery,en-GB
Gillian Flynn,Sharp Objects,en-US
Katherine Paterson,Bridge to Terabithia,eng
"P.C. Cast, Kristin Cast","Marked (House of Night, #1)",en-US
Stephen R. Covey,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,en-US
"William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey",A Midsummer Night's Dream,eng
Jonathan Safran Foer,Extremely Loud and Incredibly Close,en-US
R.J. Palacio,Wonder,eng
Dr. Seuss,The Cat in the Hat,eng
Marissa Meyer,"Cinder (The Lunar Chronicles, #1)",eng
"Robert Galbraith, J.K. Rowling","The Cuckoo's Calling (Cormoran Strike, #1)",en-US
Maggie Stiefvater,"Shiver (The Wolves of Mercy Falls, #1)",eng
"Ayn Rand, Leonard Peikoff",Atlas Shrugged,eng
"Greg Mortenson, David Oliver Relin",Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,en-US
"Jane Carruth, Lewis Carroll, Rene Cloke",Alice in Wonderland,eng
"Carlos Ruiz Zafón, Lucia Graves","The Shadow of the Wind (The Cemetery of Forgotten Books,  #1)",eng
James Dashner,"The Scorch Trials (Maze Runner, #2)",eng
Dale Carnegie,How to Win Friends and Influence People,eng
Frances Mayes,Under the Tuscan Sun,eng
Liane Moriarty,Big Little Lies,eng
Gail Carson Levine,Ella Enchanted,eng
Ernest Hemingway,The Sun Also Rises,en-US
Betty  Smith,A Tree Grows in Brooklyn,eng
James Patterson,"Kiss the Girls (Alex Cross, #2)",eng
Kristin Hannah,The Nightingale,eng
Kazuo Ishiguro,Never Let Me Go,eng
Cecelia Ahern,P.S. I Love You,en-US
"Daphne du Maurier, Sally Beauman",Rebecca,en-US
Daniel Keyes,Flowers for Algernon,en-US
"Laura Esquivel, Thomas  Christensen, Carol Christensen",Like Water for Chocolate,en-US
Lisa See,Snow Flower and the Secret Fan,eng
"Mario Puzo, Robert Thompson, Peter Bart",The Godfather,eng
John Green,An Abundance of Katherines,eng
Isaac Asimov,Foundation (Foundation #1),eng
Neil Gaiman,The Ocean at the End of the Lane,eng
Shel Silverstein,A Light in the Attic,eng
"John Tiffany, Jack Thorne, J.K. Rowling","Harry Potter and the Cursed Child - Parts One and Two (Harry Potter, #8)",eng
Lauren Oliver,"Delirium (Delirium, #1)",eng
John Grisham,The Pelican Brief,eng
Neil Gaiman,Coraline,eng
"Terry Pratchett, Neil Gaiman","Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",en-US
Jack Kerouac,On the Road,eng
Graeme Simsion,"The Rosie Project (Don Tillman, #1)",eng
Nicholas Sparks,The Lucky One,en-US
"Ayn Rand, Leonard Peikoff",The Fountainhead,eng
Tom Clancy,"The Hunt for Red October (Jack Ryan Universe, #4)",
Richard Adams,"Watership Down (Watership Down, #1)",eng
Mindy Kaling,Is Everyone Hanging Out Without Me? (And Other Concerns),eng
Abraham Verghese,Cutting for Stone,eng
"C.S. Lewis, Pauline Baynes","The Voyage of the Dawn Treader (Chronicles of Narnia, #3)",eng
Robert Louis Stevenson,Treasure Island,eng
Rick Riordan,"The Son of Neptune (The Heroes of Olympus, #2)",eng
Stephen King,11/22/63,eng
Eric Carle,The Very Hungry Caterpillar Board Book,eng
Kurt Vonnegut Jr.,Cat's Cradle,eng
"H.G. Wells, Greg Bear, Carlo Pagetti",The Time Machine,eng
"Todd Burpo, Lynn Vincent",Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,eng
John Boyne,The Boy in the Striped Pajamas,eng
Joseph Conrad,Heart of Darkness,eng
Nicholas Sparks,Safe Haven,eng
Rhonda Byrne,"The Secret (The Secret, #1)",eng
Wally Lamb,I Know This Much Is True,eng
Stephen King,Pet Sematary,eng
Wally Lamb,She's Come Undone,en-US
Patrick Rothfuss,"The Wise Man's Fear (The Kingkiller Chronicle, #2)",eng
Sophie Kinsella,Can You Keep a Secret?,en-US
Cassandra Clare,"City of Fallen Angels (The Mortal Instruments, #4)",en-US
Jennifer Weiner,"Good in Bed (Cannie Shapiro, #1)",en-US
Colleen McCullough,The Thorn Birds,eng
"Neil Gaiman, Dave McKean",The Graveyard Book,en-US
M.L. Stedman,The Light Between Oceans,eng
"Cornelia Funke, Anthea Bell","Inkheart (Inkworld, #1)",en-US
"Spencer Johnson, Kenneth H. Blanchard",Who Moved My Cheese?,eng
Bill Bryson,A Walk in the Woods,eng
Maya Angelou,I Know Why the Caged Bird Sings,en-US
Christina Baker Kline,Orphan Train,eng
Cassandra Clare,"City of Lost Souls (The Mortal Instruments, #5)",eng
Maria Semple,"Where'd You Go, Bernadette",eng
Wilson Rawls,Where the Red Fern Grows,
Neil Gaiman,Neverwhere,eng
"Milan Kundera, Michael Henry Heim",The Unbearable Lightness of Being,eng
Rainbow Rowell,Fangirl,eng
John Irving,A Prayer for Owen Meany,eng
Janet Fitch,White Oleander,eng
Marie Lu,"Legend (Legend, #1)",eng
Jodi Picoult,Nineteen Minutes,eng
"Randy Pausch, Jeffrey Zaslow",The Last Lecture,eng
Robert Jordan,"The Eye of the World (Wheel of Time, #1)",eng
Jodi Picoult,The Pact,en-US
C.S. Lewis,"The Magician's Nephew (Chronicles of Narnia, #6)",eng
Lisa Genova,Still Alice,eng
Sylvia Day,"Reflected in You (Crossfire, #2)",eng
"Roald Dahl, Quentin Blake",James and the Giant Peach,eng
James Patterson,"1st to Die (Women's Murder Club, #1)",en-US
Douglas Adams,The Ultimate Hitchhiker's Guide to the Galaxy,eng
David Nicholls,One Day,eng
"Margaret Wise Brown, Clement Hurd",Goodnight Moon,en-US
Pittacus Lore,"I Am Number Four (Lorien Legacies, #1)",en-US
"Homer, Robert Fagles, Frédéric Mugler, Bernard Knox",The Iliad,eng
J.K. Rowling,The Casual Vacancy,eng
John Grisham,The Runaway Jury,eng
David Sedaris,Naked,en-US
Christopher Paolini,"Eldest (The Inheritance Cycle, #2)",en-US
"L. Frank Baum, W.W. Denslow","The Wonderful Wizard of Oz (Oz, #1)",eng
C.S. Lewis,"Prince Caspian (Chronicles of Narnia, #2)",eng
E. Lockhart,We Were Liars,eng
Stephen King,'Salem's Lot,en-GB
"Hunter S. Thompson, Ralph Steadman",Fear and Loathing in Las Vegas,eng
Cassandra Clare,"Clockwork Prince (The Infernal Devices, #2)",eng
Amy Poehler,Yes Please,eng
William Shakespeare,Othello,eng
Toni Morrison,Beloved,eng
Kristin Cashore,"Graceling (Graceling Realm, #1)",en-CA
"Lemony Snicket, Brett Helquist","The Bad Beginning (A Series of Unfortunate Events, #1)",eng
"Erich Maria Remarque, A.W. Wheen",All Quiet on the Western Front,en-US
Dr. Seuss,"Oh, The Places You'll Go!",en-US
Khaled Hosseini,And the Mountains Echoed,eng
"Philip K. Dick, Roger Zelazny",Do Androids Dream of Electric Sheep?,eng
"Charles Dickens, George Cruikshank, Philip Horne",Oliver Twist,eng
C.S. Lewis,The Screwtape Letters,eng
Stephanie Perkins,"Anna and the French Kiss (Anna and the French Kiss, #1)",en-US
Dr. Seuss,How the Grinch Stole Christmas!,eng
"Alan Moore, David   Lloyd",V for Vendetta,eng
David McCullough,John Adams,eng
Dean Koontz,"Odd Thomas (Odd Thomas, #1)",eng
Philip Pullman,"The Subtle Knife (His Dark Materials, #2)",eng
Jerry Spinelli,"Stargirl (Stargirl, #1)",eng
Rick Riordan,"The Red Pyramid (Kane Chronicles, #1)",eng
Robert A. Heinlein,Stranger in a Strange Land,eng
David Sedaris,Dress Your Family in Corduroy and Denim,eng
"Roald Dahl, Quentin Blake",The BFG,eng
Bill Bryson,A Short History of Nearly Everything,en-US
Jack London,The Call of the Wild,eng
James Dashner,"The Death Cure (Maze Runner, #3)",eng
Neil Gaiman,Stardust,eng
Jhumpa Lahiri,The Namesake,en-US
Deborah Harkness,"A Discovery of Witches (All Souls Trilogy, #1)",eng
"Haruki Murakami, Jay Rubin",Norwegian Wood,eng
Billie Letts,Where the Heart Is,en-US
"John Green, David Levithan","Will Grayson, Will Grayson",eng
James Frey,A Million Little Pieces,en-CA
Richelle Mead,"Frostbite (Vampire Academy, #2)",eng
Susan Cain,Quiet: The Power of Introverts in a World That Can't Stop Talking,eng
Scott O'Dell,"Island of the Blue Dolphins (Island of the Blue Dolphins, #1)",en-CA
"Arthur Miller, Christopher Bigsby",The Crucible,eng
Gary Paulsen,"Hatchet (Brian's Saga, #1)",en-US
Brandon Sanderson,"The Final Empire (Mistborn, #1)",eng
"Robert Louis Stevenson, Vladimir Nabokov, Mervyn Peake, Dan Chaon",The Strange Case of Dr. Jekyll and Mr. Hyde,eng
Dr. Seuss,The Lorax,eng
Jeff Kinney,"Diary of a Wimpy Kid (Diary of a Wimpy Kid, #1)",en-US
Sarah J. Maas,"Throne of Glass (Throne of Glass, #1)",eng
Richelle Mead,"Shadow Kiss (Vampire Academy, #3)",en-US
Ernest Hemingway,For Whom the Bell Tolls,eng
Jamie Ford,Hotel on the Corner of Bitter and Sweet,eng
"Patrick Süskind, John E. Woods",Perfume: The Story of a Murderer,eng
Eric Schlosser,Fast Food Nation: The Dark Side of the All-American Meal,eng
J.K. Rowling,The Tales of Beedle the Bard,en-US
William Gibson,Neuromancer,eng
Ernest Hemingway,A Farewell to Arms,en-US
Edgar Allan Poe,The Tell-Tale Heart and Other Writings,en-GB
"Sun Tzu, Thomas Cleary",The Art of War,eng
William Landay,Defending Jacob,eng
Kurt Vonnegut Jr.,Breakfast of Champions,eng
Betty Edwards,The New Drawing on the Right Side of the Brain,en-US
Ann Patchett,Bel Canto,eng
Jared Diamond,"Guns, Germs, and Steel: The Fates of Human Societies",eng
Fannie Flagg,Fried Green Tomatoes at the Whistle Stop Cafe,
Chinua Achebe,"Things Fall Apart (The African Trilogy, #1)",en-US
Sophie Kinsella,The Undomestic Goddess,eng
Gary Chapman,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,en-US
Alexandre Dumas,The Three Musketeers,
Chris Cleave,Little Bee,en-US
Alyson Noel,"Evermore (The Immortals, #1)",en-US
"Roald Dahl, Quentin Blake",The Witches,en-US
Diane Setterfield,The Thirteenth Tale,eng
Richelle Mead,"Spirit Bound (Vampire Academy, #5)",eng
Richelle Mead,"Blood Promise (Vampire Academy, #4)",en-US
Nicholas Sparks,Message in a Bottle,en-US
Paula McLain,The Paris Wife,eng
J.K. Rowling,"Harry Potter Boxset (Harry Potter, #1-7)",eng
Kiera Cass,"The Elite (The Selection, #2)",eng
"Umberto Eco, William Weaver, Seán Barrett",The Name of the Rose,en-US
"Beatrice Sparks, Anonymous",Go Ask Alice,eng
"John Kennedy Toole, Walker Percy",A Confederacy of Dunces,eng
Oscar Wilde,The Importance of Being Earnest,eng
Rick Riordan,"The Mark of Athena (The Heroes of Olympus, #3)",eng
Terry Pratchett,"The Color of Magic (Discworld, #1; Rincewind #1)",eng
"Haruki Murakami, Philip Gabriel",Kafka on the Shore,en-US
Thomas Harris,"Red Dragon (Hannibal Lecter, #1)",eng
Isaac Asimov,"I, Robot (Robot #0.1)",eng
J.R. Ward,"Dark Lover (Black Dagger Brotherhood, #1)",eng
Becca Fitzpatrick,"Crescendo (Hush, Hush, #2)",en-US
Lauren Oliver,Before I Fall,eng
Arundhati Roy,The God of Small Things,eng
Sue Monk Kidd,The Invention of Wings,en-US
Liane Moriarty,What Alice Forgot,eng
"Stephen Hawking, Cao Chi, Phạm Văn Thiều",A Brief History of Time,eng
Ken Follett,"Fall of Giants (The Century Trilogy, #1)",eng
Stephen King,Under the Dome,eng
Neal Stephenson,Snow Crash,eng
Sarah Dessen,Just Listen,en-US
"A.A. Milne, Ernest H. Shepard","Winnie-the-Pooh (Winnie-the-Pooh, #1)",eng
S.J. Watson,Before I Go to Sleep,en-CA
Arthur Conan Doyle,A Study in Scarlet,eng
Christopher Paolini,"Brisingr (The Inheritance Cycle, #3)",eng
Rick Warren,The Purpose Driven Life: What on Earth Am I Here for?,en-US
"P.C. Cast, Kristin Cast","Betrayed (House of Night, #2)",en-US
Jim Butcher,"Storm Front (The Dresden Files, #1)",en-US
"Jane Austen, Alfred MacAdam",Northanger Abbey,eng
Rick Yancey,"The 5th Wave (The 5th Wave, #1)",eng
Charles Frazier,Cold Mountain,en-US
"Laura Joffe Numeroff, Felicia Bond",If You Give a Mouse a Cookie,en-US
Emily Giffin,"Something Blue (Darcy & Rachel, #2)",en-US
Tennessee Williams,A Streetcar Named Desire,eng
Elizabeth Kostova,The Historian,eng
Emily St. John Mandel,Station Eleven,eng
"Fredrik Backman, Henning Koch",A Man Called Ove,eng
Cassandra Clare,"Clockwork Princess (The Infernal Devices, #3)",eng
Pearl S. Buck,"The Good Earth (House of Earth, #1)",eng
John Berger,Ways of Seeing,eng
Diana Gabaldon,"Dragonfly in Amber (Outlander, #2)",eng
Anonymous,Holy Bible: King James Version,eng
Jennifer Weiner,In Her Shoes,
"Chuck Dixon, J.R.R. Tolkien, David Wenzel, Sean Deming",The Hobbit: Graphic Novel,eng
Junot Díaz,The Brief Wondrous Life of Oscar Wao,eng
Zora Neale Hurston,Their Eyes Were Watching God,eng
