authors,title
Kurt Vonnegut Jr.,Slaughterhouse-Five
Margaret Mitchell,Gone with the Wind
Khaled Hosseini,A Thousand Splendid Suns
Stephen Chbosky,The Perks of Being a Wallflower
Veronica Roth,"Insurgent (Divergent, #2)"
Orson Scott Card,"Ender's Game (Ender's Saga, #1)"
"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",Frankenstein
Stephen King,The Shining (The Shining #1)
Stephenie Meyer,"The Host (The Host, #1)"
John Green,Looking for Alaska
Helen Fielding,"Bridget Jones's Diary (Bridget Jones, #1)"
"Jane Austen, Tony Tanner, Ros Ballaster",Sense and Sensibility
"Louis Sachar, Louis Sachar","Holes (Holes, #1)"
Lauren Weisberger,"The Devil Wears Prada (The Devil Wears Prada, #1)"
"Homer, Robert Fagles, E.V. Rieu, Frederic Mugler, Bernard Knox",The Odyssey
"Antoine de Saint-Exupery, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",The Little Prince
Jeannette Walls,The Glass Castle
Jon Krakauer,Into the Wild
"Charles Dickens, Richard Maxwell, Hablot Knight Browne",A Tale of Two Cities
Shel Silverstein,The Giving Tree
John Grisham,A Time to Kill
"Elie Wiesel, Marion Wiesel",Night (The Night Trilogy #1)
John Green,Paper Towns
William Goldman,The Princess Bride 
S.E. Hinton,The Outsiders
James Dashner,"The Maze Runner (Maze Runner, #1)"
"Steven D. Levitt, Stephen J. Dubner","Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)"
Frances Hodgson Burnett,The Secret Garden
"Gabriel Garcia Marquez, Gregory Rabassa",One Hundred Years of Solitude
"Oscar Wilde, Jeffrey Eugenides",The Picture of Dorian Gray
E.L. James,"Fifty Shades Freed (Fifty Shades, #3)"
"Bram Stoker, Nina Auerbach, David J. Skal",Dracula
"Stieg Larsson, Reg Keeland","The Girl Who Played with Fire (Millennium, #2)"
E.L. James,"Fifty Shades Darker (Fifty Shades, #2)"
Barbara Kingsolver,The Poisonwood Bible
David Sedaris,Me Talk Pretty One Day
Maurice Sendak,Where the Wild Things Are
"Alexandre Dumas, Robin Buss",The Count of Monte Cristo
Cormac McCarthy,The Road
Veronica Roth,"Allegiant (Divergent, #3)"
Tina Fey,Bossypants
Nicholas Sparks,A Walk to Remember
Sophie Kinsella,"Confessions of a Shopaholic (Shopaholic, #1)"
"Victor Hugo, Lee Fahnestock, Norman MacAfee",Les Miserables
George R.R. Martin,"A Clash of Kings  (A Song of Ice and Fire, #2)"
Kim Edwards,The Memory Keeper's Daughter
Jojo Moyes,"Me Before You (Me Before You, #1)"
Joseph Heller,Catch-22
"Mitch Albom, Saulius Dagys",Tuesdays with Morrie
Jeffrey Eugenides,Middlesex
"Mark Twain, Guy Cardwell, John Seelye",The Adventures of Tom Sawyer
Madeleine L'Engle,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)"
Amy Tan,The Joy Luck Club
Margaret Atwood,The Handmaid's Tale
Ann Brashares,"The Sisterhood of the Traveling Pants (Sisterhood, #1)"
"Vladimir Nabokov, Craig Raine",Lolita
"Gregory Maguire, Douglas Smith","Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)"
John Grisham,"The Firm (Penguin Readers, Level 5)"
Emma Donoghue,Room
"William Shakespeare, Richard Andrews, Rex Gibson",Hamlet
Frank Herbert,Dune (Dune Chronicles #1)
Malcolm Gladwell,The Tipping Point: How Little Things Can Make a Big Difference
Walter Isaacson,Steve Jobs
Ken Kesey,One Flew Over the Cuckoo's Nest
Ernest Hemingway,The Old Man and the Sea
John Steinbeck,The Grapes of Wrath
Mitch Albom,The Five People You Meet in Heaven
L.M. Montgomery,"Anne of Green Gables (Anne of Green Gables, #1)"
Cassandra Clare,"City of Glass (The Mortal Instruments, #3)"
George R.R. Martin,"A Storm of Swords (A Song of Ice and Fire, #3)"
Rebecca Wells,Divine Secrets of the Ya-Ya Sisterhood
Diana Gabaldon,"Outlander (Outlander, #1)"
"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",The Scarlet Letter
Ransom Riggs,"Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children, #1)"
"Stieg Larsson, Reg Keeland","The Girl Who Kicked the Hornet's Nest (Millennium, #3)"
Andy Weir,The Martian
Ken Follett,"The Pillars of the Earth (The Kingsbridge Series, #1)"
Anthony Doerr,All the Light We Cannot See
Laura Hillenbrand,"Unbroken: A World War II Story of Survival, Resilience, and Redemption"
Dan Brown,Deception Point
Donna Tartt,The Goldfinch
Jay Asher,Thirteen Reasons Why
Tracy Chevalier,Girl with a Pearl Earring
Gayle Forman,"If I Stay (If I Stay, #1)"
Anita Diamant,The Red Tent
Rick Riordan,"The Sea of Monsters (Percy Jackson and the Olympians, #2)"
Nicholas Sparks,Dear John
Cassandra Clare,"City of Ashes (The Mortal Instruments, #2)"
William Shakespeare,Macbeth
J.R.R. Tolkien,"The Two Towers (The Lord of the Rings, #2)"
Emily Giffin,"Something Borrowed (Darcy & Rachel, #1)"
Dr. Seuss,Green Eggs and Ham
"Roald Dahl, Quentin Blake","Charlie and the Chocolate Factory (Charlie Bucket, #1)"
Rick Riordan,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)"
Charles Dickens,Great Expectations
J.R.R. Tolkien,"The Return of the King (The Lord of the Rings, #3)"
"Albert Camus, Matthew    Ward",The Stranger
Rick Riordan,"The Lost Hero (The Heroes of Olympus, #1)"
Rainbow Rowell,Eleanor & Park
George R.R. Martin,"A Feast for Crows (A Song of Ice and Fire, #4)"
Ally Condie,"Matched (Matched, #1)"
Neil Gaiman,"American Gods (American Gods, #1)"
"Stephen King, Bernie Wrightson",The Stand
Nicholas Sparks,The Last Song
Dan Brown,Digital Fortress
"Jane Austen, Fiona Stafford",Emma
"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",Anna Karenina
Anthony Burgess,A Clockwork Orange
William Paul Young,The Shack
Rick Riordan,"The Last Olympian (Percy Jackson and the Olympians, #5)"
Stephen King,It
"Fyodor Dostoyevsky, David McDuff",Crime and Punishment
Sylvia Plath,The Bell Jar
Frank McCourt,"Angela's Ashes (Frank McCourt, #1)"
"Hermann Hesse, Hilda Rosner",Siddhartha
Truman Capote,In Cold Blood
"Kami Garcia, Margaret Stohl","Beautiful Creatures (Caster Chronicles, #1)"
Cassandra Clare,"Clockwork Angel (The Infernal Devices, #1)"
"Roald Dahl, Quentin Blake",Matilda
Erin Morgenstern,The Night Circus
Philippa Gregory,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)"
Scott Westerfeld,"Uglies (Uglies, #1)"
George R.R. Martin,"A Dance with Dragons (A Song of Ice and Fire, #5)"
J.R.R. Tolkien,"The Lord of the Rings (The Lord of the Rings, #1-3)"
Cheryl Strayed,Wild: From Lost to Found on the Pacific Crest Trail
"Alan Moore, Dave Gibbons, John Higgins",Watchmen
Patrick Rothfuss,"The Name of the Wind (The Kingkiller Chronicle, #1)"
Malcolm Gladwell,Outliers: The Story of Success
"Herman Melville, Andrew Delbanco, Tom Quirk","Moby-Dick or, The Whale"
"Mary Ann Shaffer, Annie Barrows",The Guernsey Literary and Potato Peel Pie Society
Chuck Palahniuk,Fight Club
Charlaine Harris,"Dead Until Dark (Sookie Stackhouse, #1)"
Alice Walker,The Color Purple
John Grogan,Marley and Me: Life and Love With the World's Worst Dog
Agatha Christie,And Then There Were None
Dan Brown,"The Lost Symbol (Robert Langdon, #3)"
Becca Fitzpatrick,"Hush, Hush (Hush, Hush, #1)"
Jamie McGuire,"Beautiful Disaster (Beautiful, #1)"
Charles Dickens,A Christmas Carol
Anne Rice,"Interview with the Vampire (The Vampire Chronicles, #1)"
Kiera Cass,"The Selection (The Selection, #1)"
Janet Evanovich,"One for the Money (Stephanie Plum, #1)"
Rebecca Skloot,The Immortal Life of Henrietta Lacks
Thomas Harris,"The Silence of the Lambs  (Hannibal Lecter, #2)"
Richelle Mead,"Vampire Academy (Vampire Academy, #1)"
Malcolm Gladwell,Blink: The Power of Thinking Without Thinking
Ian McEwan,Atonement
"Franz Kafka, Stanley Corngold",The Metamorphosis
Rick Riordan,"The Titan's Curse (Percy Jackson and the Olympians, #3)"
Ernest Cline,Ready Player One
Garth Stein,The Art of Racing in the Rain
"Erik Larson, Tony Goldwyn","The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America"
Sylvia Day,"Bared to You (Crossfire, #1)"
"C.S. Lewis, Pauline Baynes","The Chronicles of Narnia (Chronicles of Narnia, #1-7)"
Mark Cotta Vaz,Twilight: The Complete Illustrated Movie Companion
Dave Pelzer,"A Child Called ""It"" (Dave Pelzer #1)"
Robert Ludlum,"The Bourne Identity (Jason Bourne, #1)"
Eoin Colfer,"Artemis Fowl (Artemis Fowl, #1)"
Lauren Kate,"Fallen (Fallen, #1)"
John Steinbeck,East of Eden
Gillian Flynn,Dark Places
John Grisham,The Client
"Emma McLaughlin, Nicola Kraus","The Nanny Diaries (Nanny, #1)"
"Lewis Carroll, John Tenniel, Martin Gardner",Alice's Adventures in Wonderland & Through the Looking-Glass
"Jane Austen, James Kinsley, Deidre Shauna Lynch",Persuasion
Tatiana de Rosnay,Sarah's Key
Stephen King,"The Gunslinger (The Dark Tower, #1)"
"Gabriel Garcia Marquez, Edith Grossman",Love in the Time of Cholera
Laurie Halse Anderson,Speak
Liane Moriarty,The Husband's Secret
Jon Krakauer,Into Thin Air: A Personal Account of the Mount Everest Disaster
Stephen King,Carrie
Augusten Burroughs,Running with Scissors
Max Brooks,World War Z: An Oral History of the Zombie War
Dan Brown,"Inferno (Robert Langdon, #4)"
Lois Lowry,Number the Stars
James Patterson,"Along Came a Spider (Alex Cross, #1)"
Stephen King,Misery
Gillian Flynn,Sharp Objects
Katherine Paterson,Bridge to Terabithia
"P.C. Cast, Kristin Cast","Marked (House of Night, #1)"
Stephen R. Covey,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change
"William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey",A Midsummer Night's Dream
Jonathan Safran Foer,Extremely Loud and Incredibly Close
R.J. Palacio,Wonder
Dr. Seuss,The Cat in the Hat
Marissa Meyer,"Cinder (The Lunar Chronicles, #1)"
"Robert Galbraith, J.K. Rowling","The Cuckoo's Calling (Cormoran Strike, #1)"
Maggie Stiefvater,"Shiver (The Wolves of Mercy Falls, #1)"
"Ayn Rand, Leonard Peikoff",Atlas Shrugged
"Greg Mortenson, David Oliver Relin",Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time
"Jane Carruth, Lewis Carroll, Rene Cloke",Alice in Wonderland
"Carlos Ruiz Zafon, Lucia Graves","The Shadow of the Wind (The Cemetery of Forgotten Books,  #1)"
James Dashner,"The Scorch Trials (Maze Runner, #2)"
Dale Carnegie,How to Win Friends and Influence People
Frances Mayes,Under the Tuscan Sun
Liane Moriarty,Big Little Lies
Gail Carson Levine,Ella Enchanted
Ernest Hemingway,The Sun Also Rises
Betty  Smith,A Tree Grows in Brooklyn
James Patterson,"Kiss the Girls (Alex Cross, #2)"
Kristin Hannah,The Nightingale
Kazuo Ishiguro,Never Let Me Go
Cecelia Ahern,P.S. I Love You
"Daphne du Maurier, Sally Beauman",Rebecca
Daniel Keyes,Flowers for Algernon
"Laura Esquivel, Thomas  Christensen, Carol Christensen",Like Water for Chocolate
Lisa See,Snow Flower and the Secret Fan
"Mario Puzo, Robert Thompson, Peter Bart",The Godfather
John Green,An Abundance of Katherines
Isaac Asimov,Foundation (Foundation #1)
Neil Gaiman,The Ocean at the End of the Lane
Shel Silverstein,A Light in the Attic
"John Tiffany, Jack Thorne, J.K. Rowling","Harry Potter and the Cursed Child - Parts One and Two (Harry Potter, #8)"
Lauren Oliver,"Delirium (Delirium, #1)"
John Grisham,The Pelican Brief
Neil Gaiman,Coraline
"Terry Pratchett, Neil Gaiman","Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch"
Jack Kerouac,On the Road
Graeme Simsion,"The Rosie Project (Don Tillman, #1)"
Nicholas Sparks,The Lucky One
"Ayn Rand, Leonard Peikoff",The Fountainhead
Tom Clancy,"The Hunt for Red October (Jack Ryan Universe, #4)"
Richard Adams,"Watership Down (Watership Down, #1)"
Mindy Kaling,Is Everyone Hanging Out Without Me? (And Other Concerns)
Abraham Verghese,Cutting for Stone
"C.S. Lewis, Pauline Baynes","The Voyage of the Dawn Treader (Chronicles of Narnia, #3)"
Robert Louis Stevenson,Treasure Island
Rick Riordan,"The Son of Neptune (The Heroes of Olympus, #2)"
Stephen King,11/22/63
Eric Carle,The Very Hungry Caterpillar Board Book
Kurt Vonnegut Jr.,Cat's Cradle
"H.G. Wells, Greg Bear, Carlo Pagetti",The Time Machine
"Todd Burpo, Lynn Vincent",Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back
John Boyne,The Boy in the Striped Pajamas
Joseph Conrad,Heart of Darkness
Nicholas Sparks,Safe Haven
Rhonda Byrne,"The Secret (The Secret, #1)"
Wally Lamb,I Know This Much Is True
Stephen King,Pet Sematary
Wally Lamb,She's Come Undone
Patrick Rothfuss,"The Wise Man's Fear (The Kingkiller Chronicle, #2)"
Sophie Kinsella,Can You Keep a Secret?
Cassandra Clare,"City of Fallen Angels (The Mortal Instruments, #4)"
Jennifer Weiner,"Good in Bed (Cannie Shapiro, #1)"
Colleen McCullough,The Thorn Birds
"Neil Gaiman, Dave McKean",The Graveyard Book
M.L. Stedman,The Light Between Oceans
"Cornelia Funke, Anthea Bell","Inkheart (Inkworld, #1)"
"Spencer Johnson, Kenneth H. Blanchard",Who Moved My Cheese?
Bill Bryson,A Walk in the Woods
Maya Angelou,I Know Why the Caged Bird Sings
Christina Baker Kline,Orphan Train
Cassandra Clare,"City of Lost Souls (The Mortal Instruments, #5)"
Maria Semple,"Where'd You Go, Bernadette"
Wilson Rawls,Where the Red Fern Grows
Neil Gaiman,Neverwhere
"Milan Kundera, Michael Henry Heim",The Unbearable Lightness of Being
Rainbow Rowell,Fangirl
John Irving,A Prayer for Owen Meany
Janet Fitch,White Oleander
Marie Lu,"Legend (Legend, #1)"
Jodi Picoult,Nineteen Minutes
"Randy Pausch, Jeffrey Zaslow",The Last Lecture
Robert Jordan,"The Eye of the World (Wheel of Time, #1)"
Jodi Picoult,The Pact
C.S. Lewis,"The Magician's Nephew (Chronicles of Narnia, #6)"
Lisa Genova,Still Alice
Sylvia Day,"Reflected in You (Crossfire, #2)"
"Roald Dahl, Quentin Blake",James and the Giant Peach
James Patterson,"1st to Die (Women's Murder Club, #1)"
Douglas Adams,The Ultimate Hitchhiker's Guide to the Galaxy
David Nicholls,One Day
"Margaret Wise Brown, Clement Hurd",Goodnight Moon
Pittacus Lore,"I Am Number Four (Lorien Legacies, #1)"
"Homer, Robert Fagles, Frederic Mugler, Bernard Knox",The Iliad
J.K. Rowling,The Casual Vacancy
John Grisham,The Runaway Jury
David Sedaris,Naked
Christopher Paolini,"Eldest (The Inheritance Cycle, #2)"
"L. Frank Baum, W.W. Denslow","The Wonderful Wizard of Oz (Oz, #1)"
C.S. Lewis,"Prince Caspian (Chronicles of Narnia, #2)"
E. Lockhart,We Were Liars
Stephen King,'Salem's Lot
"Hunter S. Thompson, Ralph Steadman",Fear and Loathing in Las Vegas
Cassandra Clare,"Clockwork Prince (The Infernal Devices, #2)"
Amy Poehler,Yes Please
William Shakespeare,Othello
Toni Morrison,Beloved
Kristin Cashore,"Graceling (Graceling Realm, #1)"
"Lemony Snicket, Brett Helquist","The Bad Beginning (A Series of Unfortunate Events, #1)"
"Erich Maria Remarque, A.W. Wheen",All Quiet on the Western Front
Dr. Seuss,"Oh, The Places You'll Go!"
Khaled Hosseini,And the Mountains Echoed
"Philip K. Dick, Roger Zelazny",Do Androids Dream of Electric Sheep?
"Charles Dickens, George Cruikshank, Philip Horne",Oliver Twist
C.S. Lewis,The Screwtape Letters
Stephanie Perkins,"Anna and the French Kiss (Anna and the French Kiss, #1)"
Dr. Seuss,How the Grinch Stole Christmas!
"Alan Moore, David   Lloyd",V for Vendetta
David McCullough,John Adams
Dean Koontz,"Odd Thomas (Odd Thomas, #1)"
Philip Pullman,"The Subtle Knife (His Dark Materials, #2)"
Jerry Spinelli,"Stargirl (Stargirl, #1)"
Rick Riordan,"The Red Pyramid (Kane Chronicles, #1)"
Robert A. Heinlein,Stranger in a Strange Land
David Sedaris,Dress Your Family in Corduroy and Denim
"Roald Dahl, Quentin Blake",The BFG
Bill Bryson,A Short History of Nearly Everything
Jack London,The Call of the Wild
James Dashner,"The Death Cure (Maze Runner, #3)"
Neil Gaiman,Stardust
Jhumpa Lahiri,The Namesake
Deborah Harkness,"A Discovery of Witches (All Souls Trilogy, #1)"
"Haruki Murakami, Jay Rubin",Norwegian Wood
Billie Letts,Where the Heart Is
"John Green, David Levithan","Will Grayson, Will Grayson"
James Frey,A Million Little Pieces
Richelle Mead,"Frostbite (Vampire Academy, #2)"
Susan Cain,Quiet: The Power of Introverts in a World That Can't Stop Talking
Scott O'Dell,"Island of the Blue Dolphins (Island of the Blue Dolphins, #1)"
"Arthur Miller, Christopher Bigsby",The Crucible
Gary Paulsen,"Hatchet (Brian's Saga, #1)"
Brandon Sanderson,"The Final Empire (Mistborn, #1)"
"Robert Louis Stevenson, Vladimir Nabokov, Mervyn Peake, Dan Chaon",The Strange Case of Dr. Jekyll and Mr. Hyde
Dr. Seuss,The Lorax
Jeff Kinney,"Diary of a Wimpy Kid (Diary of a Wimpy Kid, #1)"
Sarah J. Maas,"Throne of Glass (Throne of Glass, #1)"
Richelle Mead,"Shadow Kiss (Vampire Academy, #3)"
Ernest Hemingway,For Whom the Bell Tolls
Jamie Ford,Hotel on the Corner of Bitter and Sweet
"Patrick Suskind, John E. Woods",Perfume: The Story of a Murderer
Eric Schlosser,Fast Food Nation: The Dark Side of the All-American Meal
J.K. Rowling,The Tales of Beedle the Bard
William Gibson,Neuromancer
Ernest Hemingway,A Farewell to Arms
Edgar Allan Poe,The Tell-Tale Heart and Other Writings
"Sun Tzu, Thomas Cleary",The Art of War
William Landay,Defending Jacob
Kurt Vonnegut Jr.,Breakfast of Champions
Betty Edwards,The New Drawing on the Right Side of the Brain
Ann Patchett,Bel Canto
Jared Diamond,"Guns, Germs, and Steel: The Fates of Human Societies"
Fannie Flagg,Fried Green Tomatoes at the Whistle Stop Cafe
Chinua Achebe,"Things Fall Apart (The African Trilogy, #1)"
Sophie Kinsella,The Undomestic Goddess
Gary Chapman,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate
Alexandre Dumas,The Three Musketeers
Chris Cleave,Little Bee
Alyson Noel,"Evermore (The Immortals, #1)"
"Roald Dahl, Quentin Blake",The Witches
Diane Setterfield,The Thirteenth Tale
Richelle Mead,"Spirit Bound (Vampire Academy, #5)"
Richelle Mead,"Blood Promise (Vampire Academy, #4)"
Nicholas Sparks,Message in a Bottle
Paula McLain,The Paris Wife
J.K. Rowling,"Harry Potter Boxset (Harry Potter, #1-7)"
Kiera Cass,"The Elite (The Selection, #2)"
"Umberto Eco, William Weaver, Sean Barrett",The Name of the Rose
"Beatrice Sparks, Anonymous",Go Ask Alice
"John Kennedy Toole, Walker Percy",A Confederacy of Dunces
Oscar Wilde,The Importance of Being Earnest
Rick Riordan,"The Mark of Athena (The Heroes of Olympus, #3)"
Terry Pratchett,"The Color of Magic (Discworld, #1; Rincewind #1)"
"Haruki Murakami, Philip Gabriel",Kafka on the Shore
Thomas Harris,"Red Dragon (Hannibal Lecter, #1)"
Isaac Asimov,"I, Robot (Robot #0.1)"
J.R. Ward,"Dark Lover (Black Dagger Brotherhood, #1)"
Becca Fitzpatrick,"Crescendo (Hush, Hush, #2)"
Lauren Oliver,Before I Fall
Arundhati Roy,The God of Small Things
Sue Monk Kidd,The Invention of Wings
Liane Moriarty,What Alice Forgot
"Stephen Hawking, Cao Chi",A Brief History of Time
Ken Follett,"Fall of Giants (The Century Trilogy, #1)"
Stephen King,Under the Dome
Neal Stephenson,Snow Crash
Sarah Dessen,Just Listen
"A.A. Milne, Ernest H. Shepard","Winnie-the-Pooh (Winnie-the-Pooh, #1)"
S.J. Watson,Before I Go to Sleep
Arthur Conan Doyle,A Study in Scarlet
Christopher Paolini,"Brisingr (The Inheritance Cycle, #3)"
Rick Warren,The Purpose Driven Life: What on Earth Am I Here for?
"P.C. Cast, Kristin Cast","Betrayed (House of Night, #2)"
Jim Butcher,"Storm Front (The Dresden Files, #1)"
"Jane Austen, Alfred MacAdam",Northanger Abbey
Rick Yancey,"The 5th Wave (The 5th Wave, #1)"
Charles Frazier,Cold Mountain
"Laura Joffe Numeroff, Felicia Bond",If You Give a Mouse a Cookie
Emily Giffin,"Something Blue (Darcy & Rachel, #2)"
Tennessee Williams,A Streetcar Named Desire
Elizabeth Kostova,The Historian
Emily St. John Mandel,Station Eleven
"Fredrik Backman, Henning Koch",A Man Called Ove
Cassandra Clare,"Clockwork Princess (The Infernal Devices, #3)"
Pearl S. Buck,"The Good Earth (House of Earth, #1)"
John Berger,Ways of Seeing
Diana Gabaldon,"Dragonfly in Amber (Outlander, #2)"
Anonymous,Holy Bible: King James Version
Jennifer Weiner,In Her Shoes
"Chuck Dixon, J.R.R. Tolkien, David Wenzel, Sean Deming",The Hobbit: Graphic Novel
Junot Diaz,The Brief Wondrous Life of Oscar Wao
Zora Neale Hurston,Their Eyes Were Watching God
"Newt Scamander, J.K. Rowling, Albus Dumbledore",Fantastic Beasts and Where to Find Them
"Malala Yousafzai, Christina Lamb",I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban
"Jane Austen, Kathryn Sutherland, Tony Tanner, Claire Lamont",Mansfield Park
Viktor E. Frankl,Man's Search for Meaning
Tana French,"In the Woods (Dublin Murder Squad, #1)"
Richard Dawkins,The God Delusion
Gayle Forman,"Where She Went (If I Stay, #2)"
John Irving,The World According to Garp
Lee Child,"Killing Floor (Jack Reacher, #1)"
"Daniel Defoe, Gerald McCann, Virginia Woolf",Robinson Crusoe
"Niccolo Machiavelli, Adolph Caso, Rufus Goodwin, Benjamin Martinez",The Prince
Philip Pullman,"The Amber Spyglass (His Dark Materials, #3)"
Terry Goodkind,"Wizard's First Rule (Sword of Truth, #1)"
Kathleen Grissom,The Kitchen House
J.D. Salinger,Franny and Zooey
Chuck Palahniuk,Choke
"Fyodor Dostoyevsky, Richard Pevear, Larissa Volokhonsky",The Brothers Karamazov
Jeanne DuPrau,"The City of Ember (Book of Ember, #1)"
Michael Crichton,The Andromeda Strain
Stephen King,The Green Mile
Kahlil Gibran,The Prophet
Art Spiegelman,"Maus I: A Survivor's Tale: My Father Bleeds History (Maus, #1)"
"P.C. Cast, Kristin Cast","Untamed (House of Night, #4)"
Orson Scott Card,"Speaker for the Dead (Ender's Saga, #2)"
C.S. Lewis,Mere Christianity
Donna Tartt,The Secret History
Dave Eggers,A Heartbreaking Work of Staggering Genius
Jean M. Auel,"The Clan of the Cave Bear (Earth's Children, #1)"
Anna Sewell,Black Beauty
"Leo Tolstoy, Henry Gifford, Aylmer Maude, Louise Maude",War and Peace
Bret Easton Ellis,American Psycho
Meg Cabot,"The Princess Diaries (The Princess Diaries, #1)"
Alexander McCall Smith,"The No. 1 Ladies' Detective Agency  (No. 1 Ladies' Detective Agency, #1)"
"Robert Kirkman, Tony Moore","The Walking Dead, Vol. 01: Days Gone Bye"
Arthur C. Clarke,"2001: A Space Odyssey (Space Odyssey, #1)"
Francine Rivers,Redeeming Love
"Tim LaHaye, Jerry B. Jenkins","Left Behind (Left Behind, #1)"
Kiera Cass,"The One (The Selection, #3)"
Suzanne Collins,"The Hunger Games Trilogy Boxset (The Hunger Games, #1-3)"
Barbara Ehrenreich,Nickel and Dimed: On (Not) Getting By in America
Sophie Kinsella,Remember Me?
Robert Jordan,"The Great Hunt (Wheel of Time, #2)"
Patricia Cornwell,"Postmortem (Kay Scarpetta, #1)"
Edgar Allan Poe,The Complete Stories and Poems
"Corrie ten Boom, John Sherrill, Elizabeth Sherrill",The Hiding Place: The Triumphant True Story of Corrie Ten Boom
Arthur Conan Doyle,The Adventures of Sherlock Holmes
Pat Conroy,The Prince of Tides
